"date_time","tempinf","humidityin","baromrelin","baromabsin","tempf","battout","humidity","winddir","windspeedmph","windgustmph","maxdailygust","hourlyrainin","eventrainin","dailyrainin","weeklyrainin","monthlyrainin","totalrainin","solarradiation","uv","batt_co2","feelsLike","dewPoint","feelsLikein","dewPointin","lastRain","loc","tempc","tempinc","feelsLikec","feelsLikeinc","dewPointc","dewPointinc"
2021-10-01 00:05:00,77.9,63,30.077,29.69,70.5,1,91,183,0.2,1.1,1.1,0,0.201,0,0.228,0,50.618,0,0,1,71.53,67.74,78.4,64.3,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",21.39,25.5,21.96,25.78,19.86,17.94
2021-10-01 00:10:00,78.1,63,30.083,29.696,70.2,1,91,186,0.4,1.1,2.2,0,0.201,0,0.228,0,50.618,0,0,1,71.2,67.44,78.6,64.5,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",21.22,25.61,21.78,25.89,19.69,18.06
2021-10-01 00:15:00,77.9,63,30.077,29.69,70,1,91,182,0,0,2.2,0,0.201,0,0.228,0,50.618,0,0,1,70.98,67.25,78.4,64.3,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",21.11,25.5,21.66,25.78,19.58,17.94
2021-10-01 00:20:00,78.1,63,30.08,29.693,69.8,1,91,194,0.2,1.1,2.2,0,0.201,0,0.228,0,50.618,0,0,1,70.76,67.05,78.6,64.5,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",21,25.61,21.53,25.89,19.47,18.06
2021-10-01 00:25:00,78.1,63,30.074,29.687,69.4,1,90,187,2.5,3.4,8.1,0,0.201,0,0.228,0,50.618,0,0,1,70.27,66.33,78.6,64.5,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",20.78,25.61,21.26,25.89,19.07,18.06
2021-10-01 00:30:00,78.1,63,30.074,29.687,69.3,1,90,74,0.9,1.1,8.1,0,0.201,0,0.228,0,50.618,0,0,1,70.16,66.24,78.6,64.5,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",20.72,25.61,21.2,25.89,19.02,18.06
2021-10-01 00:35:00,77.9,63,30.071,29.684,69.4,1,90,163,0.7,1.1,8.1,0,0.201,0,0.228,0,50.618,0,0,1,70.27,66.33,78.4,64.3,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",20.78,25.5,21.26,25.78,19.07,17.94
2021-10-01 00:40:00,78.1,63,30.071,29.684,69.4,1,89,175,0.2,1.1,8.1,0,0.201,0,0.228,0,50.618,0,0,1,70.22,66.01,78.6,64.5,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",20.78,25.61,21.23,25.89,18.89,18.06
2021-10-01 00:45:00,77.9,63,30.074,29.687,69.4,1,89,187,1.1,1.1,9.2,0,0.201,0,0.228,0,50.618,0,0,1,70.22,66.01,78.4,64.3,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",20.78,25.5,21.23,25.78,18.89,17.94
2021-10-01 00:50:00,77.9,63,30.068,29.681,69.4,1,89,200,0,0,9.2,0,0.201,0,0.228,0,50.618,0,0,1,70.22,66.01,78.4,64.3,"2021-09-30T14:54:00.000Z","f98ea40ebf5ae0dfb901070ecc53dc58|9e464b13af3a3594c785f532ad6b3e65-1632960000000.json",20.78,25.5,21.23,25.78,18.89,17.94
